location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,val_total_formatted,val_hbm_formatted
United States of America,2017,40 and above,Male,175535.7082425905,769.3605372739216,0.43829289491951384,175.536,769
United States of America,2017,Under 40,Female,375.6970828812923,49.59972962293562,13.202053431595973,376,50
United States of America,2017,Under 40,Male,407.68999041979725,53.54397970033334,13.133503632306315,408,54
United States of America,2018,40 and above,Female,182630.4545572789,1293.8038206432511,0.7084272027792998,182.630,1.294
United States of America,2018,40 and above,Male,176922.4877637561,777.1532756465228,0.4392620098606416,176.922,777
United States of America,2018,Under 40,Female,363.2155765617957,48.2324039446787,13.279277392574237,363,48
United States of America,2018,Under 40,Male,400.6023082342362,52.910241546372944,13.207672661595298,401,53
United States of America,2019,40 and above,Female,183329.03681290513,1282.0056745062582,0.6992922107666981,183.329,1.282
United States of America,2019,40 and above,Male,177458.54616379042,784.2365192316524,0.4419265998650857,177.459,784
United States of America,2019,Under 40,Female,383.3302360411539,55.05234949590245,14.361598517366131,383,55
United States of America,2019,Under 40,Male,413.60531631820425,57.5819410226674,13.921953792868358,414,58
United States of America,2020,40 and above,Female,185700.95249064357,1282.0825754464715,0.6904017229050392,185.701,1.282
United States of America,2020,40 and above,Male,179908.19749363232,780.2193334827552,0.43367636625361133,179.908,780
United States of America,2020,Under 40,Female,379.3923913222049,54.787036237376505,14.440731414365072,379,55
United States of America,2020,Under 40,Male,408.85677072933566,57.90647370982181,14.163021834400796,409,58
United States of America,2021,40 and above,Female,189652.50013121084,1304.5644246008792,0.6878709343131876,189.653,1.305
United States of America,2021,40 and above,Male,184880.79841853265,792.2864683530629,0.4285390776815486,184.881,792
United States of America,2021,Under 40,Female,374.45859943424665,54.324864035646385,14.507575501730626,374,54
United States of America,2021,Under 40,Male,392.64461751607746,55.20644284709891,14.06015526109648,393,55
